Aplicativo;ciudad;motivo;mensaje;comentario;latitud;longitud;fecha_hora_registro;hashTag;calificación;mensaje_completo;categoria_predicha;prioridad_predicha
ktaxi;ambato;solicitud conductor;cancela  al llegar;desde web: se notifica a la cliente que debe esperar el tiempo asignado por el conductor;;;2024-01-23 14:57:17;hashtag;1;solicitud conductor cancela  al llegar;problemas con el viaje;Alta
azutaxi;cuenca;solicitud cliente;nunca llegó;desde web: se está revisando la bitácora, caso no relevante;;;2024-01-24 08:01:46;hashtag;1;solicitud cliente nunca llegó;problemas con el viaje;Alta
ktaxi;loja;solicitud cliente;nunca llegó;;;;2024-04-29 15:13:53;hashtag;1;solicitud cliente nunca llegó;problemas con el viaje;Alta
azutaxi;cuenca;solicitud cliente;nunca llegó;;;;2024-03-15 08:05:02;hashtag;1;solicitud cliente nunca llegó;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;bloquear inmediatamente quieren pagar 15 dólares a gualaceo y me insultan me dicen que soy ratero;;;;2024-04-11 20:40:50;hashtag;1;solicitud conductor bloquear inmediatamente quieren pagar 15 dólares a gualaceo y me insultan me dicen que soy ratero;problemas con el pago;Inmediata
azutaxi;cuenca;solicitud conductor;nunca salió;;;;2024-02-28 23:31:52;hashtag;1;solicitud conductor nunca salió;problemas con el viaje;Alta
ktaxi;loja;llamada a conductor desde historial;entrega de encomienda;;-4.022717;-79.205031;2024-03-18 14:09:39;#contactorevisar# #contacto_cliente_app# #contacto_de_solicitud_cliente#;0;llamada a conductor desde historial entrega de encomienda;otros problemas;Baja
azutaxi;cuenca;solicitud cliente;nunca llegó;;;;2024-03-13 16:42:53;hashtag;1;solicitud cliente nunca llegó;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;no tienen dinero para pagar;;;;2024-03-23 10:33:17;hashtag;1;solicitud conductor no tienen dinero para pagar;problemas con el pago;Inmediata
azutaxi;cuenca;solicitud cliente;abusivo   actitud desagradable;;;;2024-01-08 20:28:58;hashtag;1;solicitud cliente abusivo   actitud desagradable;problemas de comportamiento;Urgente
azutaxi;cuenca;solicitud conductor;se va en otro taxi;;;;2024-01-29 06:52:17;hashtag;1;solicitud conductor se va en otro taxi;problemas con el viaje;Alta
azutaxi;cuenca;solicitud cliente;nunca llegó;;;;2024-04-04 12:31:21;hashtag;1;solicitud cliente nunca llegó;problemas con el viaje;Alta
azutaxi;cuenca;solicitud cliente;velocidad excesiva  llevó otro cliente  vehículo incorrecto  actitud desagradable  canceló solicitud  nunca llegó;;;;2024-01-28 10:45:49;hashtag;1;solicitud cliente velocidad excesiva  llevó otro cliente  vehículo incorrecto  actitud desagradable  canceló solicitud  nunca llegó;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;no abordo;;;;2024-04-24 09:01:44;hashtag;1;solicitud conductor no abordo;otros problemas;Baja
azutaxi;cuenca;solicitud conductor;pesimo cliente hace ir en vano llego y se va en otro taxi no asignada;;;;2024-03-29 00:24:57;hashtag;1;solicitud conductor pesimo cliente hace ir en vano llego y se va en otro taxi no asignada;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;no espera;;;;2024-04-18 07:51:58;hashtag;1;solicitud conductor no espera;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;pidió taxi y no salió;;;;2024-02-09 18:04:50;hashtag;1;solicitud conductor pidió taxi y no salió;problemas con el viaje;Alta
azutaxi;cuenca;solicitud cliente;si    vehículo incorrecto;;;;2024-01-22 01:32:54;hashtag;1;solicitud cliente si    vehículo incorrecto;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;no contesta mal cliente hace ase venir envano;;;;2024-01-08 03:09:05;hashtag;1;solicitud conductor no contesta mal cliente hace ase venir envano;problemas con el viaje;Alta
ktaxi;loja;solicitud cliente;pésimo servicio jamás llegó la unidad  nunca llegó;;;;2024-03-03 14:47:26;hashtag;1;solicitud cliente pésimo servicio jamás llegó la unidad  nunca llegó;problemas con el viaje;Alta
ktaxi;loja;solicitud conductor;el cliente dice que le espere pero demora demasiado y no sale;;;;2024-01-13 18:14:34;hashtag;1;solicitud conductor el cliente dice que le espere pero demora demasiado y no sale;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;no llevar;;;;2024-04-24 15:30:42;hashtag;1;solicitud conductor no llevar;otros problemas;Baja
azutaxi;cuenca;solicitud conductor;cliente no sale ni tampoco contesta;;;;2024-04-13 12:29:48;hashtag;1;solicitud conductor cliente no sale ni tampoco contesta;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;pide y no sale;;;;2024-02-27 11:03:01;hashtag;1;solicitud conductor pide y no sale;problemas con el viaje;Alta
azutaxi;cuenca;solicitud cliente;actitud desagradable;;;;2024-01-11 12:06:50;hashtag;1;solicitud cliente actitud desagradable;problemas de comportamiento;Urgente
azutaxi;cuenca;solicitud conductor;sra muy grosera ..;;;;2024-03-16 20:47:53;hashtag;1;solicitud conductor sra muy grosera ..;otros problemas;Baja
ktaxi;loja;solicitud cliente;nunca llegó;;;;2024-03-24 12:16:45;hashtag;1;solicitud cliente nunca llegó;problemas con el viaje;Alta
azutaxi;cuenca;solicitud cliente;actitud desagradable;;;;2024-02-10 15:15:29;hashtag;1;solicitud cliente actitud desagradable;problemas de comportamiento;Urgente
azutaxi;cuenca;solicitud conductor;persona abusiva quiere pagar 1.25 por qué eso marca el taxímetro;;;;2024-04-23 11:33:48;hashtag;1;solicitud conductor persona abusiva quiere pagar 1.25 por qué eso marca el taxímetro;problemas con el pago;Inmediata
azutaxi;cuenca;solicitud cliente;canceló solicitud;;;;2024-01-28 18:16:44;hashtag;1;solicitud cliente canceló solicitud;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;se demoran mucho en salir;;;;2024-03-09 21:22:39;hashtag;1;solicitud conductor se demoran mucho en salir;otros problemas;Baja
azutaxi;cuenca;solicitud conductor;coje otro taxi;;;;2024-03-03 14:26:59;hashtag;1;solicitud conductor coje otro taxi;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;perder tiempo se. va en otra unidad;;;;2024-02-24 11:51:07;hashtag;1;solicitud conductor perder tiempo se. va en otra unidad;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;no responde;;;;2024-02-23 11:13:21;hashtag;1;solicitud conductor no responde;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;mal cliente;desde web: se revisa la carrera y el hsitorial;;;2024-04-05 23:53:14;hashtag;1;solicitud conductor mal cliente;problemas de comportamiento;Urgente
azutaxi;cuenca;solicitud conductor;cliente cancela la solicitud y no contesta el teléfono   pésimo actitud;;;;2024-03-24 03:50:05;hashtag;1;solicitud conductor cliente cancela la solicitud y no contesta el teléfono   pésimo actitud;problemas con el viaje;Alta
ktaxi;santo domingo;solicitud conductor;llama. taxi constesta el teléfono y nunca sale;desde web: se conversa con conductor sobre la novedad;;;2024-02-16 19:28:45;hashtag;1;solicitud conductor llama. taxi constesta el teléfono y nunca sale;problemas con el viaje;Alta
azutaxi;cuenca;solicitud cliente;pone el taxímetro cuando ella llega no cuando uno se sube a la unidad  actitud desagradable;desde web: caso no relevante, se revisó la bitácora;;;2024-04-02 13:27:06;hashtag;1;solicitud cliente pone el taxímetro cuando ella llega no cuando uno se sube a la unidad  actitud desagradable;problemas con el pago;Inmediata
azutaxi;cuenca;solicitud cliente;actitud desagradable  canceló solicitud;desde web: caso no relevante, se revisó la bitácora del conductor;;;2024-03-23 14:09:56;hashtag;1;solicitud cliente actitud desagradable  canceló solicitud;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;no, es taxi ruta disculpe;;;;2024-01-30 17:31:34;hashtag;1;solicitud conductor no, es taxi ruta disculpe;problemas con el viaje;Alta
azutaxi;cuenca;solicitud cliente;nunca llegó;;;;2024-01-28 13:10:57;hashtag;1;solicitud cliente nunca llegó;problemas con el viaje;Alta
ktaxi;loja;solicitud cliente;todo el trayecto en el celular y llega tarde  actitud desagradable;;;;2024-03-20 20:32:14;hashtag;1;solicitud cliente todo el trayecto en el celular y llega tarde  actitud desagradable;problemas de comportamiento;Urgente
azutaxi;cuenca;solicitud cliente;actitud desagradable;;;;2024-01-28 11:05:29;hashtag;1;solicitud cliente actitud desagradable;problemas de comportamiento;Urgente
azutaxi;cuenca;solicitud cliente;nunca llegó;desde web: caso no relevante, se revisó la bitácora;;;2024-04-22 08:37:00;hashtag;1;solicitud cliente nunca llegó;problemas con el viaje;Alta
ktaxi;loja;pre-registro;#1105589095  #estoydispuestoalcambio  #quieroserconductor | quiero trabajar con la app; en contacto se le paso el número de soporte técnico para que escriba;-3.970021;-79.215644;2024-01-03 13:56:25;#contactorevisar# #contacto_conductor_app# #contacto_preregistro_conductor#;0;pre-registro #1105589095  #estoydispuestoalcambio  #quieroserconductor | quiero trabajar con la app;mensaje de operador;Baja
azutaxi;cuenca;solicitud conductor;me cancelo;;;;2024-04-17 21:50:49;hashtag;1;solicitud conductor me cancelo;problemas con el viaje;Alta
azutaxi;cuenca;solicitud cliente;mal estado de vehículo;;;;2024-04-10 18:31:41;hashtag;2;solicitud cliente mal estado de vehículo;problemas de seguridad;Inmediata
clipp;loja;solicitud conductor;el cliente no desea el taxi;;;;2024-01-01 03:55:36;hashtag;1;solicitud conductor el cliente no desea el taxi;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;mal no quiere pagar;;;;2024-02-04 23:02:42;hashtag;1;solicitud conductor mal no quiere pagar;problemas con el pago;Inmediata
azutaxi;cuenca;solicitud cliente;canceló solicitud;;;;2024-04-23 21:18:50;hashtag;1;solicitud cliente canceló solicitud;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;mal cliente solo solicita y pone avorbordo;;;;2024-04-23 18:57:35;hashtag;1;solicitud conductor mal cliente solo solicita y pone avorbordo;problemas de comportamiento;Urgente
azutaxi;cuenca;solicitud conductor;el cliente pide y llegando al lugar cancela la solicitud;;;;2024-02-10 00:45:35;hashtag;1;solicitud conductor el cliente pide y llegando al lugar cancela la solicitud;problemas con el viaje;Alta
azutaxi;cuenca;solicitud cliente;llevó otro cliente;;;;2024-03-27 12:13:12;hashtag;1;solicitud cliente llevó otro cliente;problemas con el viaje;Alta
azutaxi;cuenca;solicitud cliente;nunca llegó;desde web: se está revisando la bitácora, caso no relevante;;;2024-01-07 22:49:46;hashtag;1;solicitud cliente nunca llegó;problemas con el viaje;Alta
azutaxi;cuenca;solicitud cliente;canceló solicitud;;;;2024-04-24 19:23:05;hashtag;1;solicitud cliente canceló solicitud;problemas con el viaje;Alta
ktaxi;ambato;solicitud cliente;llevó otro cliente;;;;2024-03-29 12:54:03;hashtag;1;solicitud cliente llevó otro cliente;problemas con el viaje;Alta
azutaxi;cuenca;taxi;quiero saber como puedo pedir tres taxis a la vez;;-2.917928;-78.999258;2024-03-28 19:21:41;#contactorevisar# #contacto_cliente_app# #contacto_cliente#;0;taxi quiero saber como puedo pedir tres taxis a la vez;problemas de seguridad;Inmediata
azutaxi;cuenca;solicitud conductor;odiosa, hecha la importante y encima no tiene dinero para pagar la carrera;;;;2024-03-08 11:40:53;hashtag;1;solicitud conductor odiosa, hecha la importante y encima no tiene dinero para pagar la carrera;problemas con el pago;Inmediata
unitaxi;quito;reaerva;buen día quiero reservar un taxi para las siete y quince de hoy;;-0.245708;-78.497621;2024-02-28 06:02:12;#contactorevisar# #contacto_cliente_app# #contacto_cliente#;0;reaerva buen día quiero reservar un taxi para las siete y quince de hoy;otros problemas;Baja
azutaxi;cuenca;solicitud conductor;cliente no salió;;;;2024-02-01 17:23:18;hashtag;1;solicitud conductor cliente no salió;problemas con el viaje;Alta
azutaxi;cuenca;solicitud cliente;actitud desagradable;desde web: caso no relevante, se revisó la bitácora;;;2024-04-07 09:08:03;hashtag;1;solicitud cliente actitud desagradable;problemas de comportamiento;Urgente
azutaxi;cuenca;solicitud conductor;cancelo;;;;2024-02-22 12:42:30;hashtag;1;solicitud conductor cancelo;problemas con el viaje;Alta
azutaxi;cuenca;solicitud cliente;mal estado de vehículo;;;;2024-02-23 12:22:40;hashtag;2;solicitud cliente mal estado de vehículo;problemas de seguridad;Inmediata
azutaxi;cuenca;solicitud cliente;nunca llegó;;;;2024-03-03 19:12:03;hashtag;1;solicitud cliente nunca llegó;problemas con el viaje;Alta
azutaxi;cuenca;solicitud cliente;nunca llegó;;;;2024-05-01 17:53:29;hashtag;1;solicitud cliente nunca llegó;problemas con el viaje;Alta
azutaxi;cuenca;solicitud cliente;actitud desagradable;;;;2024-02-15 13:49:32;hashtag;1;solicitud cliente actitud desagradable;problemas de comportamiento;Urgente
azutaxi;cuenca;solicitud conductor;cliente nunca salió llama de andrés;;;;2024-05-02 08:37:56;hashtag;1;solicitud conductor cliente nunca salió llama de andrés;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;pone a bordo;;;;2024-03-29 09:32:02;hashtag;1;solicitud conductor pone a bordo;problemas con el viaje;Alta
ktaxi;ambato;solicitud cliente;conductor con actitud negativa está sin placa el auto ameniza de muerte  actitud desagradable;desde web: se procedio a tomar contacto con el conductor el mismos que supo manifestar que el cliente le trato mal e inclusive que le golpeo la puerta, adicional indico que el estaba con una señora a la que pidiio que le enseñe a compoportarse ya que le falto el respeto al conductor;;;2024-01-24 17:40:12;hashtag;1;solicitud cliente conductor con actitud negativa está sin placa el auto ameniza de muerte  actitud desagradable;problemas de comportamiento;Urgente
azutaxi;cuenca;solicitud conductor;pasajero en estado etílico;;;;2024-03-10 02:39:18;hashtag;1;solicitud conductor pasajero en estado etílico;problemas de seguridad;Inmediata
ktaxi;loja;solicitud conductor;mil veces pésimo;;;;2024-01-09 09:02:46;hashtag;1;solicitud conductor mil veces pésimo;problemas con el viaje;Alta
azutaxi;cuenca;solicitud cliente;actitud desagradable;;;;2024-01-24 07:54:40;hashtag;1;solicitud cliente actitud desagradable;problemas de comportamiento;Urgente
azutaxi;cuenca;solicitud cliente;muy buena;;;;2024-01-29 15:46:30;hashtag;1;solicitud cliente muy buena;otros problemas;Baja
azutaxi;cuenca;solicitud conductor;no sale;;;;2024-03-26 09:33:31;hashtag;1;solicitud conductor no sale;problemas con el viaje;Alta
ktaxi;loja;solicitud conductor;no salio hace perder el tiempo;;;;2024-03-06 07:55:14;hashtag;1;solicitud conductor no salio hace perder el tiempo;problemas con el viaje;Alta
clipp;loja;solicitud cliente;no vino;;;;2024-04-10 08:22:11;hashtag;1;solicitud cliente no vino;problemas con el viaje;Alta
azutaxi;cuenca;solicitud cliente;nunca llegó;desde web: se revisó el hsitorial del cobductor, para hacer seguimiento;;;2024-04-06 14:51:58;hashtag;1;solicitud cliente nunca llegó;problemas con el viaje;Alta
ktaxi;quevedo;solicitud conductor;nunca salio la cliente, estube en el puntonpor mas de 5min;;;;2024-03-10 08:28:50;hashtag;2;solicitud conductor nunca salio la cliente, estube en el puntonpor mas de 5min;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;pide. y. cancela;;;;2024-02-24 21:50:25;hashtag;1;solicitud conductor pide. y. cancela;problemas con el viaje;Alta
ktaxi;loja;solicitud cliente;nunca llegó;;;;2024-01-30 18:57:55;hashtag;1;solicitud cliente nunca llegó;problemas con el viaje;Alta
azutaxi;cuenca;solicitud cliente;nunca llegó;desde web: caso no relevante, se revisó la bitácora del conductor;;;2024-03-25 11:22:14;hashtag;1;solicitud cliente nunca llegó;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;nunca salió el cliente;;;;2024-01-05 23:02:40;hashtag;1;solicitud conductor nunca salió el cliente;problemas con el viaje;Alta
ktaxi;loja;solicitud cliente;llevó otro cliente;;;;2024-01-16 06:39:04;hashtag;1;solicitud cliente llevó otro cliente;problemas con el viaje;Alta
azutaxi;cuenca;solicitud cliente;demasiada vuelta para dejar la carrera teniendo ruta más corta tener más control revisión de taxímetro;;;;2024-04-22 20:41:41;hashtag;1;solicitud cliente demasiada vuelta para dejar la carrera teniendo ruta más corta tener más control revisión de taxímetro;problemas con el pago;Inmediata
ktaxi;ambato;solicitud conductor;falta de seriedad   al solicitar  el servicio;desde web: se notifica  al conductor que debe asignar tiempos adecuados con eso evita que el cliente le cancele la carrera;;;2024-01-23 07:27:38;hashtag;1;solicitud conductor falta de seriedad   al solicitar  el servicio;problemas con el viaje;Alta
pinos seguro;chiclayo;eliminar cuenta;dftuikllnvcxx;;-6.768593;-79.848293;2024-04-09 09:40:22;#contactorevisar# #contacto_cliente_app# #contacto_cliente#;0;eliminar cuenta dftuikllnvcxx;problemas con la cuenta/app;Alta
azutaxi;cuenca;este es mi número ;nuevo número;;-2.877988;-79.06638;2024-01-04 18:07:23;#contactorevisar# #contacto_cliente_app# #contacto_cliente#;0;este es mi número  nuevo número;otros problemas;Baja
azutaxi;cuenca;solicitud cliente;canceló solicitud;;;;2024-04-07 13:06:41;hashtag;1;solicitud cliente canceló solicitud;problemas con el viaje;Alta
azutaxi;cuenca;solicitud cliente;actitud desagradable;;;;2024-04-27 15:02:14;hashtag;1;solicitud cliente actitud desagradable;problemas de comportamiento;Urgente
azutaxi;cuenca;solicitud conductor;no pago completo;;;;2024-04-27 09:57:54;hashtag;1;solicitud conductor no pago completo;problemas con el pago;Inmediata
azutaxi;cuenca;solicitud cliente;nunca llegó;desde web: se está revisando la bitácora, caso no relevante;;;2024-01-08 17:54:46;hashtag;1;solicitud cliente nunca llegó;problemas con el viaje;Alta
azutaxi;cuenca;solicitud cliente;no sé guía bien por las calles el recorrido se hace largo;;;;2024-04-20 16:52:01;hashtag;1;solicitud cliente no sé guía bien por las calles el recorrido se hace largo;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;muy prepotente y filatico;;;;2024-02-09 22:59:29;hashtag;1;solicitud conductor muy prepotente y filatico;problemas de comportamiento;Urgente
clipp;cuenca;solicitud cliente;"no llego; no llegó a tiempo; vehículo sucio; mal servicio";;;;2024-04-22 09:14:56;hashtag;1;"solicitud cliente no llego; no llegó a tiempo; vehículo sucio; mal servicio";problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;mala la ubicación;;;;2024-03-27 18:52:57;hashtag;1;solicitud conductor mala la ubicación;problemas con la cuenta/app;Alta
azutaxi;cuenca;solicitud conductor;cliente no sale ni contesta sms;;;;2024-05-07 18:51:59;hashtag;1;solicitud conductor cliente no sale ni contesta sms;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;nunca salío pésimo cliente cancela;;;;2024-03-17 03:15:40;hashtag;1;solicitud conductor nunca salío pésimo cliente cancela;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;nunca salio;;;;2024-02-27 08:36:35;hashtag;2;solicitud conductor nunca salio;problemas de seguridad;Inmediata
azutaxi;cuenca;solicitud conductor;cliente acepta el tiempo y luego pone abordar y finalizar no espera y vuelve a solicitar y tampoco acepta a tiempo;;;;2024-03-28 08:02:24;hashtag;1;solicitud conductor cliente acepta el tiempo y luego pone abordar y finalizar no espera y vuelve a solicitar y tampoco acepta a tiempo;problemas con el viaje;Alta
azutaxi;cuenca;solicitud cliente;velocidad excesiva;;;;2024-02-01 01:41:18;hashtag;1;solicitud cliente velocidad excesiva;problemas con el viaje;Alta
ktaxi;loja;solicitud cliente;cobro de la carrera mínima inadecuado y en exceso, basándose en el incremento del precio del combustible, cuando no existe ninguna ordenanza de alza;;;;2024-04-16 19:49:23;hashtag;1;solicitud cliente cobro de la carrera mínima inadecuado y en exceso, basándose en el incremento del precio del combustible, cuando no existe ninguna ordenanza de alza;problemas con el pago;Inmediata
azutaxi;cuenca;solicitud cliente;nunca llegó;;;;2024-03-08 20:08:27;hashtag;1;solicitud cliente nunca llegó;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;ya no necesita;;;;2024-03-01 13:45:11;hashtag;2;solicitud conductor ya no necesita;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;gente apurado;;;;2024-02-24 13:14:29;hashtag;1;solicitud conductor gente apurado;problemas con el viaje;Alta
ktaxi;quevedo;solicitud conductor;cliente debe no jugar con el tiempo dejo una carrera en la principal y se va en otro taxi 101 después que uno los deja o no los recojen le dejan un testamento quf mala atención;;;;2024-03-13 17:20:23;hashtag;1;solicitud conductor cliente debe no jugar con el tiempo dejo una carrera en la principal y se va en otro taxi 101 después que uno los deja o no los recojen le dejan un testamento quf mala atención;problemas con el viaje;Alta
azutaxi;cuenca;solicitud cliente;actitud desagradable;;;;2024-01-04 17:45:37;hashtag;2;solicitud cliente actitud desagradable;problemas de comportamiento;Urgente
azutaxi;cuenca;solicitud cliente;taxímetro alterado;;;;2024-03-09 22:14:52;hashtag;1;solicitud cliente taxímetro alterado;problemas con el pago;Inmediata
ktaxi;ambato;solicitud conductor;mucho tiempo de espera;desde web: se notifica a la cliente que el tiempo de espera es máximo de 3 minutos que esté atenta al tiempo asignado por el conductor;;;2024-04-18 20:49:38;hashtag;1;solicitud conductor mucho tiempo de espera;otros problemas;Baja
clipp;loja;solicitud conductor;cliente no salio me retiro tomar en cuenta señores de ktaxi;;;;2024-03-24 17:59:21;hashtag;1;solicitud conductor cliente no salio me retiro tomar en cuenta señores de ktaxi;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;cancela la carrera no me voy a retirar de tener en cuenta eso por favor;;;;2024-02-06 13:31:44;hashtag;1;solicitud conductor cancela la carrera no me voy a retirar de tener en cuenta eso por favor;problemas con el viaje;Alta
azutaxi;cuenca;solicitud cliente;nunca llegó;desde web: se revisó la bitácora, caso no relevante;;;2024-04-10 08:48:25;hashtag;1;solicitud cliente nunca llegó;problemas con el viaje;Alta
ktaxi;ambato;solicitud cliente;nunca llegó;;;;2024-02-12 19:38:21;hashtag;1;solicitud cliente nunca llegó;problemas con el viaje;Alta
ktaxi;ambato;solicitud conductor;cliente nunca asoma ase 0asar el tiempo tomar en cuenta;desde web: se notifica  al conductor que debe asignar tiempos adecuados con eso evita que el cliente le cancele la carrera;;;2024-01-15 08:08:04;hashtag;1;solicitud conductor cliente nunca asoma ase 0asar el tiempo tomar en cuenta;problemas con el viaje;Alta
ktaxi;loja;solicitud cliente;nunca llegó;;;;2024-05-07 11:46:59;hashtag;1;solicitud cliente nunca llegó;problemas con el viaje;Alta
ktaxi;loja;solicitud conductor;inconforme por el valor;;;;2024-01-31 20:13:47;hashtag;1;solicitud conductor inconforme por el valor;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;pésimo cliente hace esperar en lugar de alto tráfico vehicular y se va en otra unidad no asignada por favor mas seriedad al solicitar las unidades;;;;2024-05-03 03:13:22;hashtag;1;solicitud conductor pésimo cliente hace esperar en lugar de alto tráfico vehicular y se va en otra unidad no asignada por favor mas seriedad al solicitar las unidades;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;bien;;;;2024-02-05 08:51:43;hashtag;2;solicitud conductor bien;otros problemas;Baja
azutaxi;cuenca;solicitud conductor;cliente no aborda no sale ase venir envano;;;;2024-03-06 17:33:03;hashtag;1;solicitud conductor cliente no aborda no sale ase venir envano;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;cancelo la solicitud, verificar al cliente para que no vuelva a solicitar y cancelar la solicitud;;;;2024-05-07 10:25:43;hashtag;1;solicitud conductor cancelo la solicitud, verificar al cliente para que no vuelva a solicitar y cancelar la solicitud;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;el cliente no sale;;;;2024-04-12 11:21:10;hashtag;1;solicitud conductor el cliente no sale;problemas con el viaje;Alta
azutaxi;cuenca;solicitud conductor;llama y no sale;;;;2024-02-14 08:46:32;hashtag;1;solicitud conductor llama y no sale;problemas con el viaje;Alta
azutaxi;cuenca;solicitud cliente;nunca llegó   nunca llegó;;;;2024-02-03 15:09:24;hashtag;1;solicitud cliente nunca llegó   nunca llegó;problemas con el viaje;Alta
ecutaxi;santo domingo;solicitud cliente;muy caro el taxímetro    cobro inadecuado;;;;2024-01-02 21:08:03;hashtag;2;solicitud cliente muy caro el taxímetro    cobro inadecuado;problemas con el pago;Inmediata
azutaxi;cuenca;solicitud cliente;el taxímetro no está bien;;;;2024-04-30 13:26:02;hashtag;2;solicitud cliente el taxímetro no está bien;problemas con el pago;Inmediata
