mensaje_completo,categoria_predicha,prioridad_predicha
carrera costo de la carrera al desquite,problemas con el pago,inmediata
solicitud cliente llevó otro cliente,problemas con el viaje,alta
solicitud conductor no,otros problemas,baja
pre-registro #18611582  #estoydispuestoalcambio  #quieroserconductor | xq no se permite ciudad:cuenca  |,mensaje de operador,baja
solicitud conductor el cliente esta x otro lado,problemas con el viaje,alta
solicitud conductor el cliente no contesta el teléfono,problemas con el viaje,alta
solicitud conductor no espera,problemas con el viaje,alta
solicitud conductor cliente no espera más hace pasar tiempo actitud desagradable,problemas de comportamiento,urgente
pre-registro #72033731  #estoydispuestoalcambio  #quieroserconductor | quiero un servicio de taxi para movilizarme ciudad:chiclayo  |,mensaje de operador,baja
solicitud cliente no llego   nunca llegó,problemas con el viaje,alta
solicitud conductor el cliente no desea la carrera,problemas con el viaje,alta
solicitud cliente asco de sujeto  actitud desagradable,problemas de comportamiento,urgente
solicitud cliente quiere llevar sin taxímetro,problemas con el pago,inmediata
solicitud conductor el cliente se ha ido,problemas con el viaje,alta
objetos perdidosobjetos perdidos,problemas con el viaje,alta
solicitud conductor cliente se ido,problemas con el viaje,alta
solicitud cliente actitud desagradable  canceló solicitud,problemas con el viaje,alta
solicitud conductor nunca salió el cliente,problemas con el viaje,alta
solicitud conductor no sale el cliente,problemas con el viaje,alta
viaje  viaje,otros problemas,baja
solicitud conductor cliente se fue,problemas con el viaje,alta
solicitud conductor exceso de pasajeros,problemas de seguridad,inmediata
solicitud cliente canceló solicitud  nunca llegó,problemas con el viaje,alta
solicitud conductor cliente no dese la unidad,problemas con el viaje,alta
solicitud cliente el conductor me dejó y se fue   actitud desagradable,problemas de comportamiento,urgente
solicitud cliente pésimo servicio llega donde no es y aparte  deja al cliente no lo espera pésimo servicio   actitud desagradable  canceló solicitud,problemas de comportamiento,urgente
carrera urgente,otros problemas,baja
solicitud conductor no salio,problemas con el viaje,alta
solicitud cliente otro que no es serio,problemas con el pago,inmediata
solicitud cliente actitud desagradable,problemas de comportamiento,urgente
solicitud conductor malau ubicacion,problemas con la cuenta/app,alta
solicitud cliente llevo llevó otro cliente   llevó otro cliente,problemas de seguridad,inmediata
solicitud conductor dirección incorrecta,problemas con la cuenta/app,alta
solicitud conductor no sale,problemas con el viaje,alta
solicitud cliente mal servicio ya que se quería pasar y quería cobrar de más,problemas con el pago,inmediata
solicitud conductor el cliente no sale,problemas con el viaje,alta
solicitud cliente quiso subir más el precio incluso cuando cobro más de lo que comúnmente cobran.,problemas con el pago,inmediata
no hay delyberh no hay delivery,otros problemas,baja
solicitud conductor el cliente no desea el taxi,problemas con la cuenta/app,alta
solicitud conductor c,otros problemas,baja
carrera una carrera por favor,otros problemas,baja
solicitud conductor gngjhjjhjjjjjj,otros problemas,baja
solicitud conductor ya no necesita indica,problemas con el viaje,alta
solicitud conductor no contesta la clienta,problemas con el viaje,alta
solicitud conductor no contesta la clienta de 19,problemas con el viaje,alta
"solicitud cliente precio de carrera excesivo por fin de año, carrera mínima cobra 5 dólares, estafador, pésimo servicio",problemas con el pago,inmediata
solicitud conductor el cliente está demasiado ebrio,problemas de seguridad,inmediata
solicitud conductor cliente no sale,problemas con el viaje,alta
solicitud conductor cancela,problemas con el viaje,alta
solicitud cliente pésimo servicio   nunca llegó,problemas con el viaje,alta
solicitud cliente pésimo    canceló solicitud,problemas con el viaje,alta
solicitud conductor borracho el señor,problemas de seguridad,inmediata
solicitud conductor sea más serio me hace esperar y se va en otro taxi,problemas con el viaje,alta
solicitud cliente cobro un valor que no coincidía con el taxímetro,problemas con el pago,inmediata
solicitud conductor cliente pide taxi cuando llegó me dise que ya  desea ser más serios uno deja  todo por atender al cliente,problemas con el viaje,alta
solicitud conductor espere y jamás salio,problemas con el viaje,alta
solicitud cliente se fue x otro lado  nunca llegó,problemas con el viaje,alta
solicitud cliente quiere cobrar excesivamente   actitud desagradable,problemas de comportamiento,urgente
"solicitud cliente elevó el costo mpor encima se lo establecido en la aplicacion velocidad excesiva, actitud desagradable",problemas con el pago,inmediata
solicitud cliente cobro indebido pone el precio que quiera cuidado con esta persona no hace bien su trabajo  inventa su precio no pone el taxímetro si no se le dice etc  actitud desagradable,problemas con el pago,inmediata
solicitud conductor mal ubicado gps,problemas con la cuenta/app,alta
solicitud conductor estado etilico,problemas de seguridad,inmediata
solicitud conductor llama y no sale,problemas con el viaje,alta
solicitud conductor cliente dice que nunca pide por el servicio de mascotas por que le quieren  obrar 1 dólar más que es normal por llevar un perro 🐕  y que porque le cobro tarifa nocturna  si ya son las 4 am,problemas con el pago,inmediata
solicitud conductor no salio ni contesta,problemas con el viaje,alta
solicitud conductor 5 pasajeros y molestos,problemas con el viaje,alta
solicitud conductor stan jugando con el aplicativo,problemas de comportamiento,urgente
solicitud cliente vehículo incorrecto,problemas con el viaje,alta
solicitud conductor el cliente dice que no ha solicitado taxi,problemas con el viaje,alta
solicitud conductor cancelo la carrera,problemas con el viaje,alta
solicitud cliente precio elevado,problemas con el pago,inmediata
solicitud conductor solicita degana,problemas de comportamiento,urgente
carrera precio  cuánto cuesta la carrera a cábañas del pescador  vía al cajas desde cuenca,otros problemas,baja
solicitud cliente me quiso cobrar 5$ más por llegar,otros problemas,baja
llamada a conductor desde historial necesito taxi,otros problemas,baja
solicitud conductor no salem,problemas con el viaje,alta
solicitud cliente velocidad excesiva,problemas de seguridad,inmediata
"solicitud cliente no es posible, me hizo perder el tiempo nunca llegó",problemas de comportamiento,urgente
solicitud cliente >:(  actitud desagradable  canceló solicitud  nunca llegó,problemas de comportamiento,urgente
solicitud conductor hacer envano a monsefu,otros problemas,baja
solicitud conductor esta demasiado borracho,problemas de seguridad,inmediata
"solicitud conductor cliente indica que ya se encuentra abordo, pero sin embargo no lo está y no sale",problemas con el viaje,alta
solicitud conductor nunca salió mejor canceló la carrera,problemas con el viaje,alta
regreso a casa buenas noches necesito un taxi,otros problemas,baja
taxi  no cuenta con carro propio,problemas con el viaje,alta
solicitud conductor se fue en otra unidad no espero el tiempo que se le dio,problemas con el viaje,alta
solicitud conductor ya se ha ido,problemas con el viaje,alta
"solicitud cliente no quiere ir a la dirección que se le indica, porque menciona ganar más en carreras por el centro",problemas de comportamiento,urgente
solicitud conductor no responde las llamadas,problemas con el viaje,alta
solicitud cliente abusivo en el precio    actitud desagradable,problemas con el pago,inmediata
solicitud conductor no actualiza ubicacion,problemas con el viaje,alta
solicitud cliente no llego,problemas con el viaje,alta
solicitud cliente se fue a otra dirección   nunca llegó,problemas con el viaje,alta
carrera patios de la policía de la burneo,otros problemas,baja
quiero un taxi  tengo desde las cuatro la de la mañana intentando coger taxi ayudemen porfa,otros problemas,baja
solicitud conductor jshshgshsjsuj,otros problemas,baja
solicitud conductor cliente amenaza que es trabajadora del alcalde y no sabe respeto pues no debería haber clientes así,problemas de comportamiento,urgente
nuevo amaneser nuevo amanesre,otros problemas,baja
solicitud conductor cliente no responde la llamada,problemas con el viaje,alta
solicitud cliente pésimo servicio de parte del conductor,problemas de comportamiento,urgente
solicitud conductor el cliente toma otro taxi,problemas con el viaje,alta
solicitud conductor no espero el tiempo k indico,problemas con el viaje,alta
"solicitud conductor cliente dio dirección equivocada y envío su ubicación en tiempo real al conductor la cual era un tramo más largo, se le cobro un adicional por la distancia y por ocasionar daños con su mascota (perro) dejando rayas en puerta trasera del vehículo.",problemas con el viaje,alta
solicitud conductor no respo,problemas con el viaje,alta
solicitud conductor problema mecánico,problemas de seguridad,inmediata
taxti en la  eskias,otros problemas,baja
solicitud conductor la chica pide taxi para mandar a otra persona a playa grande a la tercera a la izquierda eso es sector 101 y no se puede ingresar le cancelé la carrera,problemas con el viaje,alta
solicitud conductor cliente en estado etílico,problemas de seguridad,inmediata
carrera por  favor una carrera,otros problemas,baja
solicitud conductor no contesta y no sale el cliente,problemas con el viaje,alta
solicitud conductor mal la ubicación,problemas con la cuenta/app,alta
solicitud conductor la cliente no contesta,problemas con el viaje,alta
solicitud conductor no sale nadiee,problemas con el viaje,alta
solicitud conductor no quiso el servicio,problemas con el viaje,alta
solicitud cliente no supo esperar,problemas con el viaje,alta
carrera al terminal una carrera,otros problemas,baja
solicitud conductor cancela ya llegando,problemas con el viaje,alta
solicitud conductor clientes en estado de ebriedad peleándose,problemas de seguridad,inmediata
solicitud conductor no espera cancela,problemas con el viaje,alta
solicitud conductor no responde el cliente ya le cancelo,problemas con el viaje,alta
"solicitud conductor dice que ya sale y me tiene esperando ya 10mints ahora ya no responde, hace perder el tiempo teniendo más clientes en espera",problemas con el viaje,alta
solicitud cliente excelente,otros problemas,baja
solicitud cliente maloo  actitud desagradable  canceló solicitud  nunca llegó,problemas de comportamiento,urgente
solicitud conductor cliente acepta tiempo a medio camino cancela unidad,problemas con el viaje,alta
solicitud cliente llevó otro cliente  nunca llegó,problemas con el viaje,alta
solicitud conductor cancela cuando llego,problemas con el viaje,alta
 taxi buen día por favor hoy uno de enero hay servicio de taxis,otros problemas,baja
encomienda  no hay quien reciba es de urgencia,otros problemas,baja
solicitud conductor estando punto csncelo,problemas con el viaje,alta
solicitud conductor cliente no contesta,problemas con el viaje,alta
solicitud conductor no salió el pasajero,problemas con el viaje,alta
solicitud conductor quiere que siga en una pasada y le dije que no puedo,problemas con el viaje,alta
eliminar cuenta ningún taxi acepta mi solicitud,problemas con la cuenta/app,alta
solicitud conductor 5 pasajeros,problemas de seguridad,inmediata
solicitud conductor no desea la unidad,problemas con el viaje,alta
solicitud conductor no salio w no tiene dinero,otros problemas,baja
solicitud conductor hace perder el tiempo,problemas de comportamiento,urgente
solicitud conductor cliente no salió,problemas con el viaje,alta
solicitud conductor cliente se a ido,problemas con el viaje,alta
solicitud cliente nunca allego l aunidad le escribí y no contesto,problemas con el viaje,alta
solicitud cliente conductor irresponsable    nunca llegó,problemas de comportamiento,urgente
solicitud conductor no verifica en la unidad q se sube,problemas con el viaje,alta
solicitud conductor clienta no sabe ni donde mismo,problemas con el viaje,alta
solicitud conductor cliente no zale,problemas con el viaje,alta
solicitud conductor mal puesta la ubicación,problemas con la cuenta/app,alta
solicitud conductor nunca salio,problemas con el viaje,alta
solicitud conductor el cliente no sabe muy bien la dirección donde queda la funeraria,problemas con el viaje,alta
eliminar cuenta jkkhhh sjdkands. jaksja,problemas con la cuenta/app,alta
solicitud conductor de qué es la que se le pone el taxímetro al momento que sube la unidad se demoran en la casa hasta salir y hasta eso o sea que uno tiene que se arreglen y todo,problemas con el viaje,alta
solicitud conductor el cliente no responde,problemas con el viaje,alta
solicitud conductor jfjgigkgkhhihkhig,otros problemas,baja
eliminar cuenta no se como utilizar,problemas con la cuenta/app,alta
llamada a conductor desde historial otra carrera,otros problemas,baja
eliminar cuenta alguien tomó mi teléfono anoche y pidió un taxi por ello deshabilitó está aplicación,problemas con la cuenta/app,alta
solicitud conductor no espwro y se fue en otro taxi,problemas con el viaje,alta
solicitud conductor cliente no responde. solicita en vano.,problemas con el viaje,alta
solicitud conductor no sale nadie m retiro del lugar,problemas con el viaje,alta
solicitud conductor no haga pasar el tiempo,problemas con el viaje,alta
solicitud cliente no llego la unidad,problemas con el viaje,alta
solicitud conductor no hay nadie,problemas con el viaje,alta
llamada a conductor desde historial olvido de pertenencia,objetos perdidos,urgente
eliminar cuenta no utilizo,problemas con la cuenta/app,alta
solicitud conductor cancela estando en el lugar,problemas con el viaje,alta
consulta  como puedo contactar a un taxista si el número de la aplicación no es el correcto,otros problemas,baja
llamada a conductor desde historial perdida de pertenencia,objetos perdidos,urgente
solicitud conductor se llega a la dirección y cancela la solicitud,problemas con el viaje,alta
solicitud cliente actitud desagradable  nunca llegó,problemas de comportamiento,urgente
solicitud cliente mil disculpas,otros problemas,baja
solicitud conductor pasajero en estado de,otros problemas,baja
solicitud cliente no lleva a la licorera,otros problemas,baja
solicitud conductor cliente hace esperar y no sale luego indica q no le abren la puerta se le indica q me retiro,problemas con el viaje,alta
solicitud conductor no espero,problemas con el viaje,alta
solicitud cliente actitud desagradable  canceló solicitud  nunca llegó,problemas con el viaje,alta
se me cayo el celular en el taxi por favor quisiera q el señor taxista me conteste el celular,objetos perdidos,urgente
perdida de celular el sr se llama víctor faican,objetos perdidos,urgente
solicitud conductor el cliente no salio,problemas con el viaje,alta
solicitud cliente no cumplió,otros problemas,baja
pre-registro #1104903743  #estoydispuestoalcambio  #quieroserconductor | casa portón negro,mensaje de operador,baja
solicitud conductor no hay nadie en el lugar,problemas con el viaje,alta
solicitud conductor mal ubicado,problemas con la cuenta/app,alta
solicitud conductor no tiene registrado,otros problemas,baja
consulta  como puedo contactar con el taxista si el número no es el correcto,otros problemas,baja
solicitud conductor cancela carrera,problemas con el viaje,alta
solicitud cliente se fue,problemas con el viaje,alta
solicitud cliente mejorar todo   canceló solicitud,problemas con el viaje,alta
solicitud conductor borrachos peliando,problemas de seguridad,inmediata
solicitud conductor cliente acepta tiempo llego a la ubicación seleccionada cancela unidad,problemas con el viaje,alta
solicitud conductor cabcela,otros problemas,baja
solicitud cliente no llego    nunca llegó  llevó otro cliente,problemas con el viaje,alta
solicitud conductor no coincide dirección,problemas con la cuenta/app,alta
solicitud cliente pesimo servicio nunca llego y encima insulta cuando se len pregunta si viene,problemas de comportamiento,urgente
solicitud cliente el peor servicio    nunca llego   nunca llegó,problemas con el viaje,alta
solicitud conductor solicita la unidad y cancela ojo sr administrador con esta clienta,problemas con el viaje,alta
eliminar cuenta si estoy segura,problemas con la cuenta/app,alta
shjb se olvidaron unas ollas que me contacten,objetos perdidos,urgente
llamada a conductor desde historial celular olvidado,objetos perdidos,urgente
solicitud conductor se llega a la dirección y el cliente no sale,problemas con el viaje,alta
solicitud conductor gggggthyyyyt,otros problemas,baja
solicitud conductor pide unidad de x gusto,problemas con el viaje,alta
solicitud conductor nunca salió mal cliente,problemas con el viaje,alta
solicitud conductor el cliente no sale de la dirección dada,problemas con el viaje,alta
solicitud cliente me cobró excesivamente y parece que anda en estado etílico   velocidad excesiva,problemas de seguridad,inmediata
solicitud conductor dice que esta abordo,problemas con el viaje,alta
solicitud conductor el cliente nunca salio,problemas con el viaje,alta
solicitud cliente nunca llegó    nunca llegó,problemas con el viaje,alta
solicitud cliente no llegó   nunca llegó,problemas con el viaje,alta
pregunta  buenas tardes disculpe hoy si hay servicio de taxis,otros problemas,baja
solicitud cliente no sé fue x el camino solicitado,problemas de seguridad,inmediata
pre-registro #1150215562  #estoydispuestoalcambio  #quieroserconductor | me interesa la aplicación,mensaje de operador,baja
solicitud cliente nose que paso mi abuelo dice que se a portado mal con el.   actitud desagradable,problemas de comportamiento,urgente
solicitud conductor no  kiera taco,otros problemas,baja
"solicitud conductor se, a ido el cliente",problemas con el viaje,alta
solicitud conductor mal dirección,problemas con la cuenta/app,alta
pre-registro #2351047234  #estoydispuestoalcambio  #quieroserconductor | necesito taxi,mensaje de operador,baja
solicitud cliente no acepto 5 pasajeros,problemas de seguridad,inmediata
solicitud cliente cobro 4 dólares por la carrera,problemas con el pago,inmediata
solicitud cliente agarro rutas más largas ya que somos turistas,problemas con el viaje,alta
solicitud conductor no quiere taxi,problemas con el viaje,alta
solicitud conductor cuando se encuentre lista pide el taxi,problemas con el viaje,alta
solicitud conductor me canceló el cliente,problemas con el viaje,alta
llamada a conductor desde historial necesito una unidad de taxi,otros problemas,baja
solicitud conductor cliente cancela la solicitud,problemas con el viaje,alta
solicitud conductor no  quiet taxi,otros problemas,baja
solicitud cliente cojio otra carrera,problemas con el viaje,alta
eliminar cuenta si por q quiero poner el nombre verdadero,problemas con la cuenta/app,alta
"solicitud cliente el taxímetro iba demasiado rápido, mal servicio cobró de más.",problemas con el pago,inmediata
solicitud conductor botón desactivado,otros problemas,baja
eliminar cuenta cambia de cuenta,problemas con la cuenta/app,alta
solicitud conductor no espera y cancela pésimo cliente,problemas con el viaje,alta
solicitud conductor hace venir al zoológico y no contesta x favor eliminar,problemas con el viaje,alta
solicitud cliente vale vrg  llevó otro cliente,vocabulario inadecuado,alta
solicitud conductor servicio negativo,problemas con el viaje,alta
"solicitud conductor no hay respuesta del cliente al llegar al lugar, se le llamo y nada",problemas con el viaje,alta
solicitud conductor el cliente se encuentra en otra ubicación,problemas con el viaje,alta
solicitud cliente nunca. llego   nunca llegó,problemas con el viaje,alta
solicitud conductor cliente se va en otra unidad no espera,problemas con el viaje,alta
solicitud conductor no actualizo la ubicacion,problemas con el viaje,alta
solicitud cliente no llego al tiempo indicado de espera,otros problemas,baja
solicitud conductor cliente pone mal la dirección,problemas con la cuenta/app,alta
solicitud cliente no vales para nada,problemas con el viaje,alta
solicitud conductor el cliente toma otro taxi hace pasar el tiempo y gastar recursos,problemas con el viaje,alta
perdida de celular  se queda el celular de jhuly jiménez,objetos perdidos,urgente
eliminar cuenta si  estoy seguro que quiero eliminar la cuenta xq,problemas con la cuenta/app,alta
precio excedió  precio excedió,problemas con el pago,inmediata
solicitud cliente excedido el precio del viaje.,problemas con el pago,inmediata
solicitud conductor mareada,problemas de seguridad,inmediata
solicitud conductor pésimo cliente,problemas con el viaje,alta
solicitud conductor no responde llamadas ni sms....,problemas con el viaje,alta
solicitud conductor cliente no responde me retiro,problemas con el viaje,alta
pre-registro #9022450  #estoydispuestoalcambio  #quieroserconductor | explorar nuevas apps en tema laboral,mensaje de operador,baja
pre-registro #1207022458  #estoydispuestoalcambio  #quieroserconductor | quiero ayudar a transportar a los usuarios con tranquilidad y seguro,mensaje de operador,baja
solicitud cliente nunca llegó y contrario a acercarse a la dirección se fue a otro lado  nunca llegó,problemas con el viaje,alta
solicitud conductor cliente cancela la carrera cuando se llega al lugar,problemas con el viaje,alta
solicitud conductor cancelo...,problemas con el viaje,alta
solicitud cliente casi siempre que utilizo el servicio demoran más del tiempo que el conductor coloca y hacen un recorrido distinto a la ruta del cliente...mal servicio,problemas con el viaje,alta
solicitud conductor hace venird4 gana y no sale,problemas con el viaje,alta
solicitud cliente no llega a retirar al punto de destino.   llevó otro cliente,problemas con el viaje,alta
solicitud cliente no llega,problemas con el viaje,alta
solicitud cliente lamentablemente por ser fin de año quieren exagerar los precios y cobran lo que prácticamente quiere. debe haber una regulación de precios,problemas con el pago,inmediata
solicitud cliente maneja viendo el celular    velocidad excesiva,problemas de seguridad,inmediata
solicitud conductor pide  la unidas y no sale,problemas con el viaje,alta
solicitud conductor se realizó la carrera,problemas con el viaje,alta
"solicitud cliente llegó pero no me hizo el servicio, pésimo",problemas con el viaje,alta
solicitud conductor cliente con actitud desagradable,problemas de comportamiento,urgente
solicitud conductor pésimo estoy en el lugar y no sale y mejor dice q me retire no más,problemas con el viaje,alta
solicitud conductor no salió el cliente,problemas con el viaje,alta
solicitud conductor cliente pone a bordo sin estar en la unidad,problemas con el viaje,alta
solicitud conductor no aparece el cliente,problemas con el viaje,alta
solicitud conductor pésimo cliente no sale ni contesta la llamada me retiro,problemas con el viaje,alta
solicitud conductor son varias ocaciones que este señor clinte biene a estar faltando el respeyo eres hot porfavor bloquear  este tipo de cliente no vale la pena,otros problemas,baja
solicitud cliente cobra adicional por llevar a peritos,problemas con el pago,inmediata
solicitud conductor nunca contesto ni llamadas,problemas con el viaje,alta
solicitud conductor no me responde los mensajes ni la llamada ya esperando varios minutos,otros problemas,baja
"solicitud conductor muy mala ubicación, me hace perder tiempo...",problemas con la cuenta/app,alta
solicitud cliente .,otros problemas,baja
solicitud conductor mucho se demora y no hay nadie,problemas con el viaje,alta
solicitud cliente mala no llego   nunca llegó,problemas con el viaje,alta
solicitud conductor actitu,problemas de comportamiento,urgente
solicitud cliente muy caro,problemas con el pago,inmediata
solicitud conductor pésimo clie. te,problemas con el viaje,alta
solicitud conductor más hace pasar tiempo,otros problemas,baja
solicitud conductor hace pasar tiempo no salió le llamo contesta pero no dice nada se les hace que uno es burla,problemas con el viaje,alta
solicitud cliente no llego se fue a otro lado,problemas con el viaje,alta
solicitud conductor cliente cancela solicitud,problemas con el viaje,alta
pre-registro #0105044408  #estoydispuestoalcambio  #quieroserconductor | no se puede acceder directo ciudad:cuenca  |,mensaje de operador,baja
solicitud conductor pone mal dirección,problemas con la cuenta/app,alta
solicitud conductor grosero prepotente. se le llama y empieza a gritarme como loco,problemas de comportamiento,urgente
"solicitud conductor clienta demora demasiado en salir,  esperé más de 5min , nunca salió",problemas con el viaje,alta
solicitud conductor me salió salió media molesta,problemas con el viaje,alta
solicitud cliente 000009  nunca llegó,problemas de comportamiento,urgente
solicitud conductor el cliente no salió,problemas con el viaje,alta
llamada a conductor desde historial olvido de cosas,objetos perdidos,urgente
solicitud conductor no responde,problemas con el viaje,alta
solicitud cliente olvido de cosas y no contedta el chofer,objetos perdidos,urgente
solicitud cliente mala,otros problemas,baja
solicitud cliente mucho demoraba,problemas con el viaje,alta
eliminar cuenta no la uso mucho,problemas con la cuenta/app,alta
solicitud cliente no llega    canceló solicitud,problemas con el viaje,alta
eliminar cuenta cambio d telefono,problemas con la cuenta/app,alta
solicitud conductor no salió,problemas con el viaje,alta
solicitud conductor nunca apareció pésimo cluente,problemas con el viaje,alta
solicitud cliente ...,otros problemas,baja
hola para taxi por favor para ver si puede venir a vernos,otros problemas,baja
solicitud conductor no sale ni contesta llamadas,problemas con el viaje,alta
solicitud conductor cliente no espera el tiempo  y además está mal la aplicación botanlas carreras muy lejos no se llega a tiempo,problemas con el viaje,alta
solicitud conductor solicita el taxi y cancela en seguida,problemas con el viaje,alta
"solicitud cliente pésimo me cobro más de lo que marcó el taxímetro, es un robo espero que haga algo contra estos pésimos elementos",problemas con el pago,inmediata
solicitud conductor el cliente hace pasar tiempo y ni si quiera sale,problemas con el viaje,alta
solicitud conductor cliente no sale más hace pasar tiempo esperando se le llama y no responde actitud desagradable,problemas con el viaje,alta
"***solicitud cliente no cumplió con la tarifa establecida, me cobró demás. casi todo el trayecto hablando por teléfono actitud desagradable",problemas con el pago,inmediata
solicitud conductor cliente se ha ido en otro taxi,problemas con el viaje,alta
solicitud conductor solicito y  cancelo por las mismas la carrera,problemas con el viaje,alta
pre-registro #09603786146  #estoydispuestoalcambio  #quieroserconductor | deseo está aplicación,mensaje de operador,baja
solicitud conductor no está,problemas con el viaje,alta
"solicitud cliente al finalizar servicio quiere cobrar más de lo acordado, con escusa de feriado cobro inadecuado",problemas con el pago,inmediata
solicitud cliente llevó otro cliente  canceló solicitud,problemas con el viaje,alta
"***solicitud cliente pésimo servicio, nunca llegó, una persona irresponsable, no lo recomiendo",problemas con el viaje,alta
solicitud cliente pésimo servicio   llevó otro cliente,problemas con el viaje,alta
solicitud cliente no llego en los 2 minutos   llevó otro cliente,problemas con el viaje,alta
solicitud conductor no contesta la llamada,problemas con el viaje,alta
solicitud conductor cancela la carrera no bien llego,problemas con el viaje,alta
solicitud conductor estuvieron 5 pasajeros,problemas de seguridad,inmediata
solicitud cliente muy cara la tarifa,problemas con el pago,inmediata
solicitud cliente pésimo nunca llega a la ubicación,problemas con el viaje,alta
solicitud conductor no salioooooooooo,problemas con el viaje,alta
consulta de pagos saludos cordiales mi consulta es sobre si el pago con tarjeta de débito se puede hacer en cualquier carrera en general o si hay un monto mínimo de pago adicionalmente quisiera informar que intente cargar saldo azu taxi pero no me fue posible no se visualiza las opciones de compra gracias por la atención,problemas con el pago,inmediata
solicitud cliente mal servicio,problemas con el viaje,alta
***solicitud cliente llevó otro cliente  actitud desagradable  canceló solicitud  nunca llegó,problemas con el viaje,alta
solicitud conductor mal cliente se cancela la solitud,problemas con el viaje,alta
solicitud cliente tomo otra carrera   nunca llegó,problemas con el viaje,alta
"solicitud cliente mala actitud, mal trato",problemas de comportamiento,urgente
solicitud conductor pide y no sale me hace esperar y nuncasalio,problemas con el viaje,alta
pre-registro #2350935520  #estoydispuestoalcambio  #quieroserconductor | carreras a domicilio,mensaje de operador,baja
pre-registro #171224958515  #estoydispuestoalcambio  #quieroserconductor | nesesito carreras,mensaje de operador,baja
solicitud conductor cliente se fue no cpntestq,problemas con el viaje,alta
***necesito un taxi necesito un taxi urgente pero no es para mi ubicación sino de otra persona que no tiene como contactar un taxi,otros problemas,baja
solicitud conductor cliente hacé esperar para luego cancelar pésimo,problemas con el viaje,alta
solicitud conductor este sr hace venir de aporgusto no enviar las unidades cancela la carrera,problemas con el viaje,alta
solicitud conductor tramposo no paga ni lo que sale el taxímetro malcriado y quiere agredir de  parroquia debe eliminar de la aplicin,problemas de comportamiento,urgente
solicitud conductor no puedo dirigirme xq ud no pone bien la dirección x eso no me puedo dirijir,problemas con la cuenta/app,alta
eliminar cuenta crear otra cuenta,problemas con la cuenta/app,alta
solicitar un unidad para el dia martes dos de enero a las cuatro y cuarenta de la mañana  por favor me puede confirmar una unidad para el dia martes deos de enero a lad cuatro y cuatenta de la mañana gracias,otros problemas,baja
solicitud conductor cliente no responde,problemas con el viaje,alta
solicitud cliente taxi llegó pero no nos llevó.   llevó otro cliente,problemas con el viaje,alta
solicitud cliente nunca llego,problemas con el viaje,alta
solicitud cliente pesimo,problemas con el viaje,alta
solicitud cliente es un sapo meco,vocabulario inadecuado,alta
solicitud conductor cliente iro.,otros problemas,baja
solicitud conductor cliente no especifica ubicación,problemas con la cuenta/app,alta
***solicitud cliente vehículo incorrecto  actitud desagradable,problemas con el viaje,alta
solicitud conductor cancelo,problemas con el viaje,alta
solicitud conductor disculpe se me aplasto,otros problemas,baja
solicitud cliente mal servicio   actitud desagradable,problemas de comportamiento,urgente
solicitud conductor se pierde la ubicación,problemas con la cuenta/app,alta
