Aplicativo;ciudad;motivo;mensaje;comentario;latitud;longitud;fecha_hora_registro;hashTag;calificación
clipp;loja;solicitud cliente;no vino;null;null;null;2024-04-10 08:22:11;hashtag;1
azutaxi;cuenca;solicitud cliente;nunca llegó;desde web: se revisó el hsitorial del cobductor, para hacer seguimiento;null;null;2024-04-06 14:51:58;hashtag;1
ktaxi;quevedo;solicitud conductor;nunca salio la cliente, estube en el puntonpor mas de 5min;null;null;null;2024-03-10 08:28:50;hashtag;2
azutaxi;cuenca;solicitud conductor;pide. y. cancela;null;null;null;2024-02-24 21:50:25;hashtag;1
ktaxi;loja;solicitud cliente;nunca llegó;null;null;null;2024-01-30 18:57:55;hashtag;1
azutaxi;cuenca;solicitud cliente;nunca llegó;desde web: caso no relevante, se revisó la bitácora del conductor;null;null;2024-03-25 11:22:14;hashtag;1
azutaxi;cuenca;solicitud conductor;nunca salió el cliente;null;null;null;2024-01-05 23:02:40;hashtag;1
ktaxi;loja;solicitud cliente;llevó otro cliente;null;null;null;2024-01-16 06:39:04;hashtag;1
azutaxi;cuenca;solicitud cliente;demasiada vuelta para dejar la carrera teniendo ruta más corta tener más control revisión de taxímetro;null;null;null;2024-04-22 20:41:41;hashtag;1
ktaxi;ambato;solicitud conductor;falta de seriedad   al solicitar  el servicio;desde web: se notifica  al conductor que debe asignar tiempos adecuados con eso evita que el cliente le cancele la carrera;null;null;2024-01-23 07:27:38;hashtag;1
pinos seguro;chiclayo;eliminar cuenta;dftuikllnvcxx;null;-6.768593;-79.848293;2024-04-09 09:40:22;#contactorevisar# #contacto_cliente_app# #contacto_cliente#;0
azutaxi;cuenca;este es mi número ;nuevo número;null;-2.877988;-79.066380;2024-01-04 18:07:23;#contactorevisar# #contacto_cliente_app# #contacto_cliente#;0
azutaxi;cuenca;solicitud cliente;canceló solicitud;null;null;null;2024-04-07 13:06:41;hashtag;1
azutaxi;cuenca;solicitud cliente;actitud desagradable;null;null;null;2024-04-27 15:02:14;hashtag;1
azutaxi;cuenca;solicitud conductor;no pago completo;null;null;null;2024-04-27 09:57:54;hashtag;1
azutaxi;cuenca;solicitud cliente;nunca llegó;desde web: se está revisando la bitácora, caso no relevante;null;null;2024-01-08 17:54:46;hashtag;1
azutaxi;cuenca;solicitud cliente;no sé guía bien por las calles el recorrido se hace largo;null;null;null;2024-04-20 16:52:01;hashtag;1
azutaxi;cuenca;solicitud conductor;muy prepotente y filatico;null;null;null;2024-02-09 22:59:29;hashtag;1
clipp;cuenca;solicitud cliente;"no llego; no llegó a tiempo; vehículo sucio; mal servicio";null;null;null;2024-04-22 09:14:56;hashtag;1
azutaxi;cuenca;solicitud conductor;mala la ubicación;null;null;null;2024-03-27 18:52:57;hashtag;1
azutaxi;cuenca;solicitud conductor;cliente no sale ni contesta sms;null;null;null;2024-05-07 18:51:59;hashtag;1
azutaxi;cuenca;solicitud conductor;nunca salío pésimo cliente cancela;null;null;null;2024-03-17 03:15:40;hashtag;1
azutaxi;cuenca;solicitud conductor;nunca salio;null;null;null;2024-02-27 08:36:35;hashtag;2
azutaxi;cuenca;solicitud conductor;cliente acepta el tiempo y luego pone abordar y finalizar no espera y vuelve a solicitar y tampoco acepta a tiempo;null;null;null;2024-03-28 08:02:24;hashtag;1
azutaxi;cuenca;solicitud cliente;velocidad excesiva;null;null;null;2024-02-01 01:41:18;hashtag;1
ktaxi;loja;solicitud cliente;cobro de la carrera mínima inadecuado y en exceso, basándose en el incremento del precio del combustible, cuando no existe ninguna ordenanza de alza;null;null;null;2024-04-16 19:49:23;hashtag;1
azutaxi;cuenca;solicitud cliente;nunca llegó;null;null;null;2024-03-08 20:08:27;hashtag;1
azutaxi;cuenca;solicitud conductor;ya no necesita;null;null;null;2024-03-01 13:45:11;hashtag;2
azutaxi;cuenca;solicitud conductor;gente apurado;null;null;null;2024-02-24 13:14:29;hashtag;1
ktaxi;quevedo;solicitud conductor;cliente debe no jugar con el tiempo dejo una carrera en la principal y se va en otro taxi 101 después que uno los deja o no los recojen le dejan un testamento quf mala atención;null;null;null;2024-03-13 17:20:23;hashtag;1
azutaxi;cuenca;solicitud cliente;actitud desagradable;null;null;null;2024-01-04 17:45:37;hashtag;2
azutaxi;cuenca;solicitud cliente;taxímetro alterado;null;null;null;2024-03-09 22:14:52;hashtag;1
ktaxi;ambato;solicitud conductor;mucho tiempo de espera;desde web: se notifica a la cliente que el tiempo de espera es máximo de 3 minutos que esté atenta al tiempo asignado por el conductor;null;null;2024-04-18 20:49:38;hashtag;1
clipp;loja;solicitud conductor;cliente no salio me retiro tomar en cuenta señores de ktaxi;null;null;null;2024-03-24 17:59:21;hashtag;1
azutaxi;cuenca;solicitud conductor;cancela la carrera no me voy a retirar de tener en cuenta eso por favor;null;null;null;2024-02-06 13:31:44;hashtag;1
azutaxi;cuenca;solicitud cliente;nunca llegó;desde web: se revisó la bitácora, caso no relevante;null;null;2024-04-10 08:48:25;hashtag;1
ktaxi;ambato;solicitud cliente;nunca llegó;null;null;null;2024-02-12 19:38:21;hashtag;1
ktaxi;ambato;solicitud conductor;cliente nunca asoma ase 0asar el tiempo tomar en cuenta;desde web: se notifica  al conductor que debe asignar tiempos adecuados con eso evita que el cliente le cancele la carrera;null;null;2024-01-15 08:08:04;hashtag;1
ktaxi;loja;solicitud cliente;nunca llegó;null;null;null;2024-05-07 11:46:59;hashtag;1
ktaxi;loja;solicitud conductor;inconforme por el valor;null;null;null;2024-01-31 20:13:47;hashtag;1
azutaxi;cuenca;solicitud conductor;pésimo cliente hace esperar en lugar de alto tráfico vehicular y se va en otra unidad no asignada por favor mas seriedad al solicitar las unidades;null;null;null;2024-05-03 03:13:22;hashtag;1
azutaxi;cuenca;solicitud conductor;bien;null;null;null;2024-02-05 08:51:43;hashtag;2
azutaxi;cuenca;solicitud conductor;cliente no aborda no sale ase venir envano;null;null;null;2024-03-06 17:33:03;hashtag;1
azutaxi;cuenca;solicitud conductor;cancelo la solicitud, verificar al cliente para que no vuelva a solicitar y cancelar la solicitud;null;null;null;2024-05-07 10:25:43;hashtag;1
azutaxi;cuenca;solicitud conductor;el cliente no sale;null;null;null;2024-04-12 11:21:10;hashtag;1
azutaxi;cuenca;solicitud conductor;llama y no sale;null;null;null;2024-02-14 08:46:32;hashtag;1
azutaxi;cuenca;solicitud cliente;nunca llegó   nunca llegó;null;null;null;2024-02-03 15:09:24;hashtag;1
ecutaxi;santo domingo;solicitud cliente;muy caro el taxímetro    cobro inadecuado;null;null;null;2024-01-02 21:08:03;hashtag;2
azutaxi;cuenca;solicitud cliente;el taxímetro no está bien;null;null;null;2024-04-30 13:26:02;hashtag;2
ktaxi;loja;solicitud conductor;no hay ningún cliente;null;null;null;2024-03-06 12:20:47;hashtag;1
azutaxi;cuenca;solicitud cliente;nunca llegó;null;null;null;2024-02-10 19:14:07;hashtag;1
azutaxi;cuenca;solicitud cliente;nunca llegó;desde web: caso no relevante, se revisó la bitácora del conductor;null;null;2024-03-23 21:21:24;hashtag;1
azutaxi;cuenca;solicitud conductor;actitud poco amigable;null;null;null;2024-03-26 18:25:19;hashtag;2
azutaxi;cuenca;solicitud cliente;actitud desagradable;null;null;null;2024-04-09 19:41:09;hashtag;1
azutaxi;cuenca;solicitud conductor;pide 2 unidades y se va en la q primero llegue..;null;null;null;2024-01-24 22:35:51;hashtag;1
azutaxi;cuenca;solicitud conductor;cliente se va en otra unidad pone mal su ubicación;null;null;null;2024-01-18 09:32:34;hashtag;1
azutaxi;cuenca;solicitud conductor;mal cliente se va en otro taxi;null;null;null;2024-05-06 19:35:11;hashtag;1
azutaxi;cuenca;solicitud cliente;no puso taxímetro;null;null;null;2024-03-10 08:40:18;hashtag;1
azutaxi;cuenca;solicitud cliente;no cumple con el  actitud desagradable;desde web: caso no relevante, se revisó la bitácora del conductor;null;null;2024-03-09 02:15:03;hashtag;1
ecutaxi;latacunga;solicitud conductor;cliente no contesta;desde web: solicitud atendida por el conductor sin respeusta del cliente;null;null;2024-02-24 21:38:18;hashtag;1
azutaxi;cuenca;solicitud conductor;solicita el taxi y se va en otro. a pesar que le di 2 mints y llegué al 1 minuto no debe de jugar con la app;null;null;null;2024-04-25 08:58:02;hashtag;1
clipp;tulcán;solicitud conductor;cancelo la solicitud;desde web: solicitud cancelada por el cliente;null;null;2024-02-19 11:30:09;hashtag;1
azutaxi;cuenca;solicitud conductor;pésimo cliente llego al lugar y cancelo fui en  vano;null;null;null;2024-05-05 18:34:10;hashtag;1
azutaxi;cuenca;solicitud conductor;el cliente  pide el taxi para un amigo y está demaciado borracho no hay como dar el servicio;null;null;null;2024-04-07 00:33:25;hashtag;1
azutaxi;cuenca;solicitud cliente;actitud desagradable  canceló solicitud;null;null;null;2024-01-01 12:41:50;hashtag;1
azutaxi;cuenca;solicitud conductor;cliente cancelo solicitud pésimo cliente;null;null;null;2024-02-25 22:07:57;hashtag;1
ktaxi;cochabamba;solicitud cliente;me perjudicó pq tenía q llevar a mi niño al colegio y llevo a otro pasajero   llevó otro cliente;null;null;null;2024-03-20 07:03:44;hashtag;1
azutaxi;cuenca;solicitud conductor;se va en otro taxi me retiro;null;null;null;2024-04-14 18:11:15;hashtag;1
azutaxi;cuenca;solicitud conductor;disculpe llego 2 taxis con el mismo nombre dice q a pedido uno;null;null;null;2024-04-01 16:16:56;hashtag;1
ktaxi;riobamba;solicitud conductor;no sale;desde web: nos comunicamos con el usuario y le recordamos el uso correcto de la aplicación;null;null;2024-02-27 20:17:04;hashtag;1
azutaxi;cuenca;solicitud conductor;cancela solicitud me hace venir en vano;null;null;null;2024-01-07 09:45:22;hashtag;1
azutaxi;cuenca;solicitud conductor;otra dirección;null;null;null;2024-03-13 18:43:59;hashtag;1
azutaxi;cuenca;solicitud cliente;nunca llegó;null;null;null;2024-02-23 12:34:20;hashtag;1
azutaxi;cuenca;solicitud cliente;nunca llegó;desde web: caso no relevante, se revisó la bitácora del conductor;null;null;2024-03-23 16:05:09;hashtag;1
azutaxi;cuenca;consulta;buenos días en donde puedo conseguir un tensor de manos fitnes;null;-2.881563;-78.976030;2024-01-14 08:29:52;#contactorevisar# #contacto_cliente_app# #contacto_cliente#;0
azutaxi;cuenca;solicitud conductor;me hace esperar 15 min para no salir que manera de jugar con nuestro tiempo;null;null;null;2024-05-02 09:31:57;hashtag;1
azutaxi;cuenca;solicitud conductor;mal la ubicación;null;null;null;2024-04-30 18:34:58;hashtag;1
azutaxi;cuenca;solicitud cliente;actitud desagradable;null;null;null;2024-04-21 13:18:39;hashtag;1
azutaxi;cuenca;solicitud conductor;cliente canselo llegando;null;null;null;2024-04-07 20:32:23;hashtag;2
ktaxi;loja;solicitud conductor;ndjs;null;null;null;2024-02-16 17:37:01;hashtag;1
azutaxi;cuenca;solicitud cliente;llevó otro cliente;null;null;null;2024-03-23 00:45:30;hashtag;1
azutaxi;cuenca;solicitud conductor;cliente no sale más hace pasar tiempo esperando se le llama y dice que no ha soltado actitud desagradable;null;null;null;2024-04-26 09:05:41;hashtag;1
azutaxi;cuenca;solicitud conductor;mal cliente;null;null;null;2024-04-14 14:31:50;hashtag;1
azutaxi;cuenca;solicitud conductor;se a retirado;null;null;null;2024-03-09 16:23:49;hashtag;1
azutaxi;cuenca;solicitud conductor;se fue en otro taxi y yo estaba ai le pite pero no le importo;null;null;null;2024-04-19 21:47:57;hashtag;2
azutaxi;cuenca;solicitud cliente;nunca llegó a verme y salió que me había subido al carro;null;null;null;2024-02-02 12:39:51;hashtag;1
azutaxi;cuenca;solicitud conductor;no puedo viear;null;null;null;2024-03-19 07:47:05;hashtag;1
ktaxi;loja;solicitud conductor;no sale el clientes no contesta;null;null;null;2024-01-15 19:11:36;hashtag;1
azutaxi;cuenca;solicitud conductor;estado etilico;null;null;null;2024-02-01 02:06:34;hashtag;1
azutaxi;cuenca;solicitud conductor;canceló la solicitud y no contesta;null;null;null;2024-04-02 18:03:24;hashtag;1
azutaxi;cuenca;solicitud conductor;se demora mucho tiempo en salir;null;null;null;2024-02-18 19:51:30;hashtag;1
ktaxi;riobamba;una unidad ;una unidas;desde web: se procedió a llamarle la atención al conductor y se pidió disculpas al cliente;-1.626741;-78.560286;2024-01-29 01:13:13;#contactorevisar# #contacto_cliente_app# #contacto_cliente#;0
azutaxi;cuenca;solicitud conductor;coge otra unidad a la cliente;null;null;null;2024-05-03 09:54:36;hashtag;1
azutaxi;cuenca;solicitud conductor;no salio;null;null;null;2024-04-27 12:43:14;hashtag;1
azutaxi;cuenca;solicitud conductor;cojio otra unidad;null;null;null;2024-04-25 17:47:00;hashtag;1
azutaxi;cuenca;solicitud cliente;actitud desagradable  nunca llegó;desde web: caso no relevante, se revisó la bitácora del conductor;null;null;2024-03-19 07:33:37;hashtag;1
azutaxi;cuenca;solicitud cliente;vehículo incorrecto;null;null;null;2024-02-21 16:55:15;hashtag;1
ktaxi;ambato;solicitud cliente;actitud desagradable;null;null;null;2024-02-04 23:19:14;hashtag;2
azutaxi;cuenca;solicitud conductor;demasiado tráfico;null;null;null;2024-03-08 13:28:01;hashtag;1
azutaxi;cuenca;solicitud conductor;bien te cancelo la carrera;null;null;null;2024-04-02 07:54:55;hashtag;1
azutaxi;cuenca;llamada a conductor desde historial;de casualidad no se me quedo la cedula en el vehiculo?;null;-2.868102;-78.976378;2024-03-09 12:50:04;#contactorevisar# #contacto_cliente_app# #contacto_de_solicitud_cliente#;0
azutaxi;cuenca;solicitud conductor;cancela mal cliente ya en el lugar y coloco q ya abordo y no es asi;null;null;null;2024-01-04 04:42:06;hashtag;1
azutaxi;cuenca;solicitud cliente;no llegó a realizar la carrera  canceló solicitud  nunca llegó;null;null;null;2024-03-14 17:02:30;hashtag;1
pinos seguro;chiclayo;solicitud conductor;bloquear está cuenta;null;null;null;2024-02-19 08:36:08;hashtag;1
azutaxi;cuenca;solicitud cliente;nunca llegó;null;null;null;2024-05-06 09:48:06;hashtag;1
azutaxi;cuenca;solicitud conductor;pesimo sellego y no responde;null;null;null;2024-04-17 19:11:33;hashtag;1
azutaxi;cuenca;solicitud cliente;actitud desagradable;null;null;null;2024-01-27 09:34:44;hashtag;1
azutaxi;cuenca;solicitud cliente;llevó otro cliente;null;null;null;2024-02-07 13:32:45;hashtag;1
azutaxi;cuenca;solicitud cliente;nunca llegó;null;null;null;2024-03-15 16:24:37;hashtag;1
azutaxi;cuenca;solicitud conductor;cliente cancela la carrea;null;null;null;2024-01-02 17:03:56;hashtag;1
ktaxi;loja;solicitud cliente;nunca llegó;null;null;null;2024-02-11 14:34:31;hashtag;1
azutaxi;cuenca;solicitud cliente;nunca llegó;null;null;null;2024-01-03 09:41:46;hashtag;1
ktaxi;loja;no llego nunca;no llego numca;null;-3.973620;-79.224217;2024-02-19 13:56:34;#contactorevisar# #contacto_cliente_app# #contacto_cliente#;0
azutaxi;cuenca;solicitud conductor;me retiro no aprese;null;null;null;2024-01-05 17:34:24;hashtag;1
azutaxi;cuenca;solicitud cliente;llevó otro cliente;null;null;null;2024-04-21 10:34:21;hashtag;1
ecutaxi;cuenca;solicitud conductor;pidió del fashon y ya finalizó ya acepte da miedo cuando piden a ese lugar saben salir esa gente de los lobos con chichas borrachas y son gente malcriada;null;null;null;2024-01-06 04:01:54;hashtag;1
azutaxi;cuenca;solicitud cliente;actitud desagradable;desde web: caso no relevante, se revisó la bitácora del conductor;null;null;2024-03-16 00:35:20;hashtag;1
azutaxi;cuenca;solicitud conductor;esta sra hace venir de aporgusto no enviar las unidades no sale nada pone que esta abordó es mentira;null;null;null;2024-01-22 16:30:53;hashtag;1
azutaxi;cuenca;solicitud conductor;solicito el taxi no espero nada y se subio enotra unidad;null;null;null;2024-04-16 14:54:08;hashtag;1
